City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
Paris,141.67210364432847,Weekday,Entire home/apt,False,False,2.0,False,0,0,8.0,90.0,0,3.968011673613114,0.1981046622380838,177.85372926764228,8.657859607561115,424.4168879875848,24.938539789347363
Paris,370.7242054245503,Weekday,Entire home/apt,False,False,2.0,False,0,0,9.0,92.0,1,3.425612022897062,0.3296227611889558,218.18521857584813,10.621182916170689,533.2916600607322,31.335970976114226
Paris,578.1060676670705,Weekday,Entire home/apt,False,False,5.0,False,1,0,9.0,92.0,1,3.261519913784725,0.1403317292872082,212.3905129044436,10.339098596787869,537.1890928922993,31.56498232438364
Paris,177.7891695404977,Weekday,Private room,False,True,2.0,True,0,0,10.0,97.0,1,2.9755855211776536,0.1824694256233592,219.0364738011552,10.662621733682467,543.0132287022896,31.90720584740296
Paris,157.98303662969522,Weekday,Shared room,True,False,2.0,False,0,0,9.0,90.0,1,4.358627841790623,0.2810869857823771,164.2009111835254,7.993245023955861,385.2857271161104,22.63921089830389
Paris,774.7693168049212,Weekday,Entire home/apt,False,False,6.0,False,1,0,8.0,88.0,2,3.251034544578,0.1328665196058319,226.3056922842709,11.01648483985774,540.7039641652991,31.771514532637102
Paris,201.090502376736,Weekday,Entire home/apt,False,False,2.0,True,0,0,10.0,99.0,1,3.918131182432008,0.1999279867970831,184.44500292441955,8.978720588044228,440.0296171988424,25.85593652749658
Paris,451.81284369465936,Weekday,Entire home/apt,False,False,5.0,True,0,0,9.0,97.0,2,2.957074718358115,0.1590489777088378,222.9451961148682,10.852897018751934,540.2913713115223,31.74727076762224
Paris,243.0329014819648,Weekday,Entire home/apt,False,False,2.0,False,0,0,10.0,100.0,1,3.878073860518685,0.130556253489549,174.52892670822487,8.496009339361352,431.28339408726833,25.34201250786408
Paris,363.9668189020412,Weekday,Entire home/apt,False,False,3.0,False,0,0,9.0,80.0,2,3.853782710655694,0.2544594775771269,176.51885988098368,8.592878615643146,431.2603954625178,25.34066111932448
Paris,283.5772206170193,Weekday,Private room,False,True,2.0,False,1,0,9.0,91.0,1,3.414084593394574,0.2991375810141395,270.605947107548,13.173006316345528,624.3166076277503,36.68455474121111
Paris,415.6957777984901,Weekday,Private room,False,True,2.0,False,1,0,10.0,80.0,1,3.414086274097023,0.2991463070169654,270.6068599341809,13.173050752438412,624.3173483172177,36.6845982637812
Paris,523.5809488302731,Weekday,Private room,False,True,2.0,False,1,0,10.0,92.0,1,3.4140612491099755,0.2991238751685645,270.6083504572524,13.173123310599255,624.3239227565182,36.68498457478985
Paris,183.1484760928325,Weekday,Private room,False,True,2.0,False,0,0,10.0,95.0,1,2.796720505402341,0.2711140699915452,235.76730855667984,11.477073131621134,602.8537043883059,35.423404486399725
Paris,310.60676670705567,Weekday,Entire home/apt,False,False,2.0,False,0,1,10.0,99.0,1,3.822183289404833,0.2619293423282062,210.3716528920785,10.240821171701814,510.4301560348151,29.99263958678615
